algorithm,params,features,n_features,train_time,predict_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.004249299999997902,0.0010027889447236367,3801.48828125,0.6762589928057554,0.5477386934673367,0.4680645161290322,"[[15 60]
 [30 94]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.0028592000000031703,0.0009571989949748529,3802.62890625,0.6934306569343065,0.5778894472361809,0.5,"[[20 55]
 [29 95]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '3143', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2363', '2519', '1148', '384', '3211', '2130', '3034', '1688')",28,0.010300599999993665,0.002273589949748695,3804.65234375,0.690391459074733,0.5628140703517588,0.4898387096774194,"[[15 60]
 [27 97]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 3}","('1620', '666', '2182', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2519', '1148', '384', '3211', '2130', '3034', '1688')",26,0.0029786999999998898,0.0011301582914572937,3828.21484375,0.6808510638297873,0.5477386934673367,0.4816666666666667,"[[13 62]
 [28 96]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 3}","('1620', '666', '2182', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2519', '1148', '384', '3211', '2130', '3034', '1688')",26,0.002753599999991252,0.0009615376884421899,3829.00390625,0.6981818181818182,0.5829145728643216,0.5063440860215054,"[[20 55]
 [28 96]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2}","('1620', '666', '2182', '1834', '851', '844', '3021', '2092', '2596', '2828', '543', '2719', '1862', '3793', '363', '2972', '1355', '412', '3265', '2519', '1148', '384', '3211', '2130', '3034', '1688')",26,0.0025255000000043992,0.0009727000000000613,3830.9140625,0.697508896797153,0.5728643216080402,0.5218279569892472,"[[16 59]
 [26 98]]"
